"line","qvd","old_name","new_name","kind"
303,"FUSION/Organisation.qvd","Organisation.Organisation Id%","Organisation Id","segment"
304,"FUSION/Organisation.qvd","Organisation.Organisation","Organisation","segment"
307,"FUSION/Organisation.qvd","Organisation.ABN","ABN","segment"
314,"FUSION/Organisation.qvd","Organisation.ORP Expiry Date","ORP Expiry Date","segment"
315,"FUSION/Organisation.qvd","Organisation.ORP Risk Rating","ORP Risk Rating","segment"
315,"FUSION/Organisation.qvd","Organisation.ORP Expiry Date","ORP Expiry Date","segment"
315,"FUSION/Organisation.qvd","Organisation.ORP Risk Rating","ORP Risk Rating","segment"
319,"FUSION/Organisation.qvd","Organisation.Risk Exemption Reason","Risk Exemption Reason","segment"
321,"FUSION/Organisation.qvd","Organisation.Indigeneity","Indigeneity","segment"
321,"FUSION/Organisation.qvd","Organisation.Indigeneity","Indigeneity","segment"
321,"FUSION/Organisation.qvd","Organisation.Indigeneity","Indigeneity","segment"
329,"FUSION/Programme.qvd","Programme.Programme Id%","Programme Id","segment"
330,"FUSION/Programme.qvd","Programme.Programme","Programme","segment"
336,"FUSION/Programme Component.qvd","Programme Component.Programme Component Id%","Programme Component Id","segment"
337,"FUSION/Programme Component.qvd","Programme Component.Programme Id%","Programme Id","segment"
338,"FUSION/Programme Component.qvd","Programme Component.Programme Component","Programme Component","segment"
341,"FUSION/Programme Component.qvd","Programme Component.Outcome Element","Outcome Element","segment"
362,"FUSION/Grant Activity Funding.qvd","Grant Activity Funding.Grant Activity Id%","Grant Activity Id","segment"
363,"FUSION/Grant Activity Funding.qvd","Grant Activity Funding.Financial Year Id%","Financial Year Id","segment"
366,"FUSION/Grant Activity Funding.qvd","Grant Activity Funding.Funding Amount","Funding Amount","segment"
367,"FUSION/Grant Activity Funding.qvd","Grant Activity Funding.Funds Released","Funds Released","segment"
374,"FUSION/Financial Year.qvd","Financial Year.Financial Year Id%","Financial Year Id","segment"
375,"FUSION/Financial Year.qvd","Financial Year.Financial Year","Financial Year","segment"
515,"FUSION/PMC Region.qvd","PMC Region.PMC Region Id%","PMC Region Id","segment"
517,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
517,"FUSION/PMC Region.qvd","PMC Region.PMC Region","PMC Region","segment"
518,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
518,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
519,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
519,"FUSION/PMC Region.qvd","PMC Region.PMC Region","PMC Region","segment"
520,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
520,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
521,"FUSION/PMC Region.qvd","PMC Region.State","State","segment"
526,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
526,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
526,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
526,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
527,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
527,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
527,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
528,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
528,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
528,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
529,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
529,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
535,"FUSION/PMC Region.qvd","PMC Region.PMC Region Id%","PMC Region Id","segment"
536,"FUSION/PMC Region.qvd","PMC Region.State","State","segment"
537,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
537,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
537,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
537,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
538,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
538,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
538,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
539,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
539,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
539,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
539,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
540,"FUSION/PMC Region.qvd","PMC Region.PMC Region Abbr","PMC Region Abbr","segment"
605,"SSR/Milestone Overdue Month.qvd","Milestone Id","Milestone Id","segment"
606,"SSR/Milestone Overdue Month.qvd","Milestone Payment Mode","Milestone Payment Mode","segment"
607,"SSR/Milestone Overdue Month.qvd","Outstanding","Outstanding","segment"
608,"SSR/Milestone Overdue Month.qvd","Outstanding","Outstanding","segment"
617,"GPS/Grant Activity Acquittal Error.qvd","Grant Activity Acquittal Error.Review Id","Review Id","segment"
618,"GPS/Grant Activity Acquittal Error.qvd","Grant Activity Acquittal Error.Error","Error","segment"
619,"GPS/Grant Activity Acquittal Error.qvd","Grant Activity Acquittal Error.Error Number","Error Number","segment"
