"our_line","table_label","our_status","our_path","their_line","their_path","path_verdict","n_our_fields","n_their_fields","n_source_name_matches","n_alias_matches","source_names_only_ours","source_names_only_theirs","alias_only_ours","alias_only_theirs"
348,"","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/FUSION/Programme Component.qvd]",298,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Programme Component.qvd]","same-source",4,4,4,3,"","","Programme Component.Programme Component","Programme Component"
356,"","not-in-map","[lib://AppData/PROD/AzureDataLake/SSR/RGU Staff.qvd]",,,"no-counterpart",3,0,0,0,"RGU Team / Section;RGU Location;LOWER(TRIM([Name in Grants System]))","","RGU Team;RGU Location;Activity Manager Key",""
369,"Grant Activity Funding","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/FUSION/Grant Activity Funding.qvd]",308,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity Funding.qvd]","same-source",4,4,4,4,"","","",""
376,"","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/FUSION/Financial Year.qvd]",314,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Financial Year.qvd]","same-source",2,2,2,2,"","","",""
506,"Grant Managing Region","multi-source","[lib://AppData/PROD/AzureDataLake/GPS/Grant Managing Region.qvd]",411,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Source System.qvd]","different-source",5,2,1,1,"Engegement Officer;GMU Region Id%;Grant Activity Id%;NIAA Region Id%","Source System Id","Engegement Officer;GMU Region Id%;Grant Activity Id%;PMC Region Id%","Source System Id%"
530,"","retargeted-pending-import","[lib://Curated data Store:DataFiles/10 Landing Area/FUSION/PMC Region.qvd]",453,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/PMC Region.qvd]","same-source",7,7,6,6,"IF([PMC Region Abbr] = 'GWA' OR [PMC Region Abbr] = 'KIM' OR [PMC Region Abbr] = 'SA' OR [PMC Region Abbr] = 'VIC/TAS', 'West & South Group', IF([PMC Region Abbr] = 'CA' OR [PMC Region Abbr] = 'TETI' OR [PMC Region Abbr] = 'ALGE', 'Central Group', IF([PMC Region Abbr] = 'ENSW' OR [PMC Region Abbr] = 'WNSW' OR [PMC Region Abbr] = 'SQLD' OR [PMC Region Abbr] = 'FNQLD' OR [PMC Region Abbr] = 'GNQLD', 'Eastern Group', 'National')))","IF( [PMC Region Abbr] = 'GWA' OR [PMC Region Abbr] = 'KIM' OR [PMC Region Abbr] = 'SA' OR [PMC Region Abbr] = 'VIC/TAS', 'West & South Group', IF( [PMC Region Abbr] = 'CA' OR [PMC Region Abbr] = 'TETI' OR [PMC Region Abbr] = 'ALGE', 'Central Group', IF( [PMC Region Abbr] = 'ENSW' OR [PMC Region Abbr] = 'WNSW' OR [PMC Region Abbr] = 'SQLD' OR [PMC Region Abbr] = 'FNQLD' OR [PMC Region Abbr] = 'GNQLD', 'Eastern Group','National')))","PMC Region.State","State"
541,"GMU Region","retargeted-pending-import","[lib://Curated data Store:DataFiles/10 Landing Area/FUSION/PMC Region.qvd]",478,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/PMC Region.qvd]","same-source",3,3,2,3,"IF([PMC Region Abbr] = 'GWA' OR [PMC Region Abbr] = 'KIM' OR [PMC Region Abbr] = 'SA' OR [PMC Region Abbr] = 'VIC/TAS', 'West & South Group', IF([PMC Region Abbr] = 'CA' OR [PMC Region Abbr] = 'TETI' OR [PMC Region Abbr] = 'ALGE', 'Central Group', IF([PMC Region Abbr] = 'ENSW' OR [PMC Region Abbr] = 'WNSW' OR [PMC Region Abbr] = 'SQLD' OR [PMC Region Abbr] = 'FNQLD' OR [PMC Region Abbr] = 'GNQLD', 'Eastern Group', 'National')))","IF( [PMC Region Abbr] = 'GWA' OR [PMC Region Abbr] = 'KIM' OR [PMC Region Abbr] = 'SA' OR [PMC Region Abbr] = 'VIC/TAS', 'West & South Group' , IF( [PMC Region Abbr] = 'CA' OR [PMC Region Abbr] = 'TETI' OR [PMC Region Abbr] = 'ALGE', 'Central Group' , IF( [PMC Region Abbr] = 'ENSW' OR [PMC Region Abbr] = 'WNSW' OR [PMC Region Abbr] = 'SQLD' OR [PMC Region Abbr] = 'FNQLD' OR [PMC Region Abbr] = 'GNQLD', 'Eastern Group','National')))","",""
588,"","field-mismatch","[lib://AppData/PROD/AzureDataLake/SSR/Grant Activity Milestone.qvd]",540,"[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Milestone - Old.qvd]","different-source",31,31,0,22,"$([vDaysoverdue]);(FLOOR(([Grant Activity Milestone.Milestone Completion Date] - [Grant Activity Milestone.Milestone Expected Due Date]) / 30) * 30) + 30;Grant Activity Milestone.Activity Id;Grant Activity Milestone.Activity IMPACT PO Id;Grant Activity Milestone.Activity PBS Program;Grant Activity Milestone.Financial Year Name;Grant Activity Milestone.Managing Office - Activity;Grant Activity Milestone.Milestone Action Required;Grant Activity Milestone.Milestone Actual Amount Ex GST;Grant Activity Milestone.Milestone Auto Release Indicator;Grant Activity Milestone.Milestone Completed Indicator;Grant Activity Milestone.Milestone Completion Date;Grant Activity Milestone.Milestone Completion Description;Grant Activity Milestone.Milestone Date Driven Indicator;Grant Activity Milestone.Milestone Expected Due Date;... (+16 more)","$(vDaysoverdue);(Floor(([Milestone Completion Date] - [Milestone Expected Due Date])/30) * 30)+30;Activity Id;Activity IMPACT PO Id;Activity PBS Program;Financial Year Name;IF( [Milestone Completion Date] > TODAY() - 30 AND [Milestone Expected Due Date] < TODAY(), 1, 0);IF( [Milestone Expected Due Date] < TODAY() + 180 AND [Milestone Expected Due Date] > TODAY(), 1, 0);IF( [Milestone Expected Due Date] < TODAY() + 30 AND [Milestone Expected Due Date] > TODAY(), 1, 0);IF( [Milestone Expected Due Date] < TODAY() + 60 AND [Milestone Expected Due Date] > TODAY() + 30, 1, 0);IF( [Milestone Expected Due Date] <= TODAY(), IF( [Milestone Stage] = 'Future', 'Overdue - Not received', IF( [Milestone Stage] = 'Overdue', 'Overdue - Not received', IF( [Milestone Stage] = 'Received', 'Overdue - Received'))), IF( [Milestone Expected Due Date] > TODAY(), IF( [Milestone Stage] = 'Future', 'Future - Not received', IF( [Milestone Stage] = 'Overdue', 'Future - Not received', IF( [Milestone Stage] = 'Received', 'Future - Received')))));IF( [Milestone Expected Due Date] > TODAY(), 'Overdue', [Milestone Stage]);IF( [Milestone Expected Due Date] > TODAY(), 0, 1);IF($(vDaysoverdue) <= 30, 1, 0);Managing Office - Activity;... (+16 more)","Grant Activity Milestone.Activity IMPACT PO Id;Grant Activity Milestone.Financial Year Name;Grant Activity Milestone.Milestone Action Required;Grant Activity Milestone.Milestone Auto Release Indicator;Grant Activity Milestone.Milestone Date Driven Indicator;Grant Activity Milestone.Milestone Received;Grant Activity Milestone.Milestone Short Description;Grant Activity Milestone.Milestone Stage;Grant Activity Milestone.Milestone Status","Activity IMPACT PO Id;Financial Year Name;Milestone Action Required;Milestone Auto Release Indicator;Milestone Date Driven Indicator;Milestone Received;Milestone Short Description;Milestone Stage;Milestone Status"
609,"Milestone Overdue Month","retargeted","[lib://Curated data Store:DataFiles/10 Landing Area/GPS/Milestone Overdue Month.qvd]",565,"[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Milestone Overdue Month.qvd]","same-source",4,4,2,4,"DATE([Outstanding], 'dd/MM/yyyy');REPLACE(YEARNAME([Outstanding], 0, 7), '-20', '-')","DATE(Outstanding, 'dd/MM/yyyy');REPLACE(YEARNAME(Outstanding,0,7), '-20','-')","",""
620,"Grant Activity Acquittal Error","retargeted-pending-import","[lib://Curated data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal Error.qvd]",577,"[lib://Curated Data Store:DataFiles/10 Landing Area/GPS/Grant Activity Acquittal Error.qvd]","same-source",3,3,3,3,"","","",""
,"THEIR-ONLY (Grant Managing Region_temp)",,,406,"[lib://Curated Data Store:DataFiles/10 Landing Area/FUSION/Grant Activity.qvd]","no-counterpart",0,6,0,0,"","Grant Activity Id;Activity Id;Engagement Office Id;PMC Region Id;Engagement Officer;Source System Id","","Grant Activity Id%;Activity Id;NIAA Region Id%;GMU Region Id%;Engagement Officer;Source System Id%"
